BC,0,7,14,21,28,35
0.0,13439.0,1943.0,0.0,0.0,0.0,0.0
1.0,12698.0,2111.0,0.0,0.0,0.0,0.0
2.0,16799.0,1618.0,0.0,0.0,0.0,0.0
3.0,12833.0,1915.0,0.0,0.0,0.0,0.0
4.0,17980.0,1873.0,0.0,0.0,0.0,0.0
5.0,16960.0,2404.0,0.0,0.0,0.0,0.0
6.0,16440.0,1998.0,0.0,0.0,0.0,0.0
7.0,13905.0,2103.0,0.0,0.0,0.0,0.0
8.0,15732.0,2204.0,0.0,0.0,0.0,0.0
9.0,16299.0,2293.0,0.0,0.0,0.0,0.0
10.0,15367.0,2109.0,0.0,0.0,0.0,0.0
11.0,17082.0,2109.0,0.0,0.0,0.0,0.0
12.0,14917.0,2054.0,0.0,0.0,0.0,0.0
13.0,14290.0,1979.0,0.0,0.0,0.0,0.0
14.0,15905.0,1969.0,0.0,0.0,0.0,0.0
15.0,17227.0,1967.0,0.0,0.0,0.0,0.0
16.0,13856.0,1733.0,0.0,0.0,0.0,0.0
17.0,13012.0,1680.0,0.0,0.0,0.0,0.0
18.0,15562.0,2493.0,0.0,0.0,0.0,0.0
500.0,3987.0,359.0,0.0,0.0,0.0,0.0
1000.0,3558.0,671.0,0.0,0.0,0.0,0.0
1500.0,3581.0,727.0,0.0,0.0,0.0,0.0
2000.0,3370.0,0.0,0.0,0.0,0.0,0.0
5000.0,4237.0,2642.0,0.0,294.0,0.0,0.0
10000.0,5077.0,2966.0,0.0,236.0,0.0,161.0
15000.0,5610.0,4192.0,367.0,1803.0,937.0,3462.0
30000.0,5122.0,3754.0,164.0,180.0,0.0,0.0
40000.0,1427.0,2791.0,0.0,238.0,0.0,431.0
50000.0,4507.0,5920.0,443.0,355.0,238.0,370.0
