BC,0,7,14,21,28,35
0,13439.0,7464.0,1355.0,0.0,0.0,0.0
1,12698.0,7868.0,1456.0,0.0,0.0,0.0
2,16799.0,11735.0,1645.0,0.0,0.0,0.0
1500,3581.0,6906.0,17000.0,1106.0,7520.0,4264.0
4,12833.0,7732.0,1402.0,0.0,0.0,0.0
5,17980.0,12417.0,1855.0,0.0,0.0,0.0
15000,5610.0,11698.0,34897.0,2692.0,23472.0,28590.0
5000,4237.0,7125.0,7204.0,191.0,718.0,254.0
10000,5077.0,10732.0,35950.0,3401.0,35601.0,44203.0
1000,3558.0,3301.0,3144.0,0.0,232.0,0.0
10,16960.0,10352.0,1680.0,0.0,0.0,0.0
11,16440.0,10590.0,1808.0,0.0,0.0,0.0
500,3987.0,2672.0,586.0,0.0,0.0,0.0
13,13905.0,8362.0,1500.0,0.0,0.0,0.0
14,15732.0,9945.0,1709.0,0.0,0.0,0.0
15,16299.0,9462.0,1686.0,0.0,0.0,0.0
16,15367.0,10050.0,1847.0,0.0,0.0,0.0
17,17082.0,9954.0,1816.0,0.0,0.0,0.0
18,14917.0,9630.0,1665.0,0.0,0.0,0.0
50000,4507.0,1991.0,756.0,0.0,0.0,0.0
40000,1427.0,2067.0,5006.0,370.0,4023.0,4766.0
21,14290.0,8153.0,1418.0,0.0,0.0,0.0
22,15905.0,9606.0,1654.0,0.0,0.0,0.0
2000,3370.0,5838.0,14177.0,867.0,5108.0,2570.0
24,17227.0,10272.0,1730.0,0.0,0.0,0.0
25,13856.0,8806.0,1614.0,0.0,0.0,0.0
30000,5122.0,11113.0,56211.0,5150.0,64054.0,84053.0
27,13012.0,8788.0,1291.0,0.0,0.0,0.0
28,15562.0,9242.0,1691.0,0.0,0.0,0.0
