BC,0,7,14,21,28,35
0,13439.0,3844.0,4608.0,1994.0,756.0,635.0
1,12698.0,4145.0,5019.0,2160.0,834.0,612.0
2,16799.0,8778.0,16405.0,9405.0,5161.0,16216.0
1500,3581.0,3407.0,7178.0,6256.0,3178.0,6508.0
4,12833.0,3916.0,4782.0,2181.0,743.0,695.0
5,17980.0,9141.0,16319.0,9657.0,5186.0,15408.0
15000,5610.0,6745.0,19163.0,23810.0,12323.0,22076.0
5000,4237.0,4731.0,6313.0,4470.0,1730.0,9529.0
10000,5077.0,4231.0,8711.0,8052.0,3541.0,4371.0
1000,3558.0,2186.0,3734.0,2761.0,1206.0,2796.0
10,16960.0,5801.0,6797.0,2719.0,988.0,1016.0
11,16440.0,5404.0,6615.0,2488.0,950.0,1018.0
500,3987.0,2059.0,4023.0,2919.0,1867.0,3476.0
13,13905.0,4217.0,5367.0,2207.0,792.0,621.0
14,15732.0,5355.0,6369.0,2541.0,1007.0,855.0
15,16299.0,5021.0,6147.0,2442.0,884.0,774.0
16,15367.0,4992.0,6397.0,2673.0,930.0,974.0
17,17082.0,5490.0,6659.0,2598.0,902.0,865.0
18,14917.0,4822.0,5920.0,2465.0,928.0,878.0
50000,4507.0,3813.0,12920.0,12095.0,6615.0,0.0
40000,1427.0,1223.0,3292.0,1402.0,943.0,122112.0
21,14290.0,4545.0,5284.0,2124.0,852.0,735.0
22,15905.0,5171.0,5958.0,2356.0,845.0,893.0
2000,3370.0,3093.0,6390.0,6900.0,3193.0,4954.0
24,17227.0,5192.0,6590.0,2490.0,883.0,1031.0
25,13856.0,4600.0,5538.0,2323.0,809.0,737.0
30000,5122.0,3699.0,11553.0,12106.0,6711.0,174.0
27,13012.0,7093.0,12692.0,7458.0,4508.0,11553.0
28,15562.0,5052.0,5846.0,2566.0,923.0,876.0
