BC,0,7,14,21,28,35
0,13439.0,1983.0,0.0,0.0,0.0,0.0
1,12698.0,1560.0,0.0,0.0,0.0,0.0
2,16799.0,1139.0,0.0,0.0,0.0,0.0
1500,3581.0,6388.0,1759.0,1125.0,309.0,0.0
4,12833.0,1388.0,0.0,0.0,0.0,0.0
5,17980.0,1882.0,159.0,0.0,0.0,0.0
15000,5610.0,9121.0,2841.0,2416.0,447.0,195.0
5000,4237.0,10971.0,2431.0,1868.0,450.0,0.0
10000,5077.0,12745.0,5185.0,4754.0,1321.0,675.0
1000,3558.0,1410.0,252.0,0.0,0.0,0.0
10,16960.0,2222.0,0.0,0.0,0.0,0.0
11,16440.0,1899.0,0.0,0.0,0.0,0.0
500,3987.0,1079.0,0.0,0.0,0.0,0.0
13,13905.0,1802.0,0.0,0.0,0.0,0.0
14,15732.0,1707.0,0.0,0.0,0.0,0.0
15,16299.0,1648.0,0.0,0.0,0.0,0.0
16,15367.0,1060.0,0.0,0.0,0.0,0.0
17,17082.0,2438.0,0.0,0.0,0.0,0.0
18,14917.0,1911.0,0.0,0.0,0.0,0.0
50000,4507.0,47227.0,102516.0,293320.0,216907.0,261146.0
40000,1427.0,5388.0,3450.0,3761.0,1426.0,910.0
21,14290.0,1970.0,0.0,0.0,0.0,0.0
22,15905.0,2085.0,0.0,0.0,0.0,0.0
2000,3370.0,8220.0,2586.0,2266.0,588.0,242.0
24,17227.0,2767.0,0.0,0.0,0.0,0.0
25,13856.0,1564.0,0.0,0.0,0.0,0.0
30000,5122.0,4527.0,1207.0,644.0,0.0,0.0
27,13012.0,1090.0,0.0,0.0,0.0,0.0
28,15562.0,2183.0,0.0,0.0,0.0,0.0
