BC,0,7,14,21,28,35
0,13439.0,852.0,1952.0,263.0,0.0,0.0
1,12698.0,877.0,2068.0,262.0,0.0,0.0
2,16799.0,1076.0,3573.0,585.0,391.0,174.0
1500,3581.0,742.0,2348.0,441.0,176.0,0.0
4,12833.0,835.0,2041.0,270.0,0.0,0.0
5,17980.0,1136.0,3743.0,642.0,408.0,175.0
15000,5610.0,2445.0,29155.0,12265.0,16779.0,9806.0
5000,4237.0,963.0,7761.0,3468.0,5205.0,2839.0
10000,5077.0,1267.0,6195.0,1462.0,987.0,462.0
1000,3558.0,439.0,666.0,0.0,0.0,0.0
10,16960.0,1077.0,2716.0,291.0,185.0,0.0
11,16440.0,1020.0,2766.0,294.0,178.0,0.0
500,3987.0,395.0,1657.0,255.0,181.0,0.0
13,13905.0,891.0,2161.0,265.0,0.0,0.0
14,15732.0,1036.0,2459.0,342.0,0.0,0.0
15,16299.0,916.0,2409.0,321.0,162.0,0.0
16,15367.0,943.0,2359.0,296.0,159.0,0.0
17,17082.0,1017.0,2706.0,285.0,175.0,0.0
18,14917.0,987.0,2792.0,318.0,185.0,0.0
50000,4507.0,5260.0,15044.0,3389.0,2712.0,1711.0
40000,1427.0,1241.0,18762.0,13322.0,35915.0,27043.0
21,14290.0,901.0,2249.0,264.0,0.0,0.0
22,15905.0,967.0,2431.0,330.0,0.0,0.0
2000,3370.0,563.0,1847.0,344.0,179.0,0.0
24,17227.0,927.0,2654.0,347.0,208.0,0.0
25,13856.0,983.0,2233.0,258.0,184.0,0.0
30000,5122.0,4192.0,62728.0,49660.0,104440.0,106580.0
27,13012.0,992.0,2950.0,447.0,300.0,171.0
28,15562.0,991.0,2383.0,307.0,174.0,0.0
